F606W flux (muJy),F814W flux (muJy),F125W flux (muJy),F160W flux (muJy),F606W err (muJy),F814W err (muJy),F125W err (muJy),F160W err (muJy),redshift
0.122129,0.116338,0.141179,0.232375,0.0194948,0.0223002,0.0266381,0.0251867,2.0172333333333334
0.146205,0.248667,0.374026,0.417352,0.0141816,0.0176698,0.0309138,0.0268755,0.8352666666666666
0.0543013,0.0674721,0.100403,0.165964,0.0106573,0.0132328,0.020541,0.0186628,1.1499333333333333
0.140418,0.214603,0.317033,0.454155,0.0380819,0.0376546,0.0252508,0.0230759,1.0030666666666666
0.0502408,0.0514974,0.106379,0.135058,0.0114792,0.0134786,0.0308243,0.0217552,0.5088333333333332
0.03622,0.0770004,0.131321,0.139971,0.0172862,0.0214496,0.0341239,0.0347971,0.77245
0.259434,0.111663,0.173081,0.174748,0.057703,0.0463103,0.0310591,0.0280843,1.4224499999999998
0.221937,0.329447,0.503824,0.602267,0.0172731,0.0212388,0.0379402,0.0343281,0.9209166666666668
0.06582,0.071969,0.200007,0.195179,0.0115971,0.0139667,0.0178947,0.0157624,1.5055666666666665
-2.855e-05,-0.00801327,0.00495771,0.118922,0.00728924,0.00879568,0.0166898,0.0169222,6.620833333333333
0.149805,0.235393,0.846512,0.818857,0.0184024,0.0232489,0.0475892,0.0379502,1.3027
0.307611,0.596892,0.710633,0.874483,0.0179952,0.0230669,0.0264225,0.0235608,0.9362666666666666
0.0915264,0.171009,0.15807,0.106944,0.0438238,0.0480226,0.0605655,0.0459772,3.718
0.63068,3.01092,7.66783,10.9891,0.0401205,0.0620505,0.0636675,0.0561739,0.8153166666666666
0.149677,0.178341,0.428098,0.552043,0.030999,0.0382509,0.0263789,0.0226463,1.1072999999999997
0.265621,0.279345,0.394313,0.614042,0.0247794,0.0295777,0.0363787,0.0333465,0.8006333333333333
4.37182,13.8194,23.0418,25.9221,0.0568769,0.0861546,0.138419,0.108831,0.35823333333333335
0.0901195,0.183753,0.347686,0.378752,0.0150317,0.018683,0.0336182,0.0244166,1.0301333333333333
0.136369,0.1289,0.134728,0.276629,0.0127953,0.0159439,0.0179153,0.016305,1.0828333333333333
0.166134,0.202789,0.773704,1.29958,0.0238244,0.0291949,0.0373105,0.0348881,1.87715
0.0750941,0.0834187,0.114252,0.256885,0.0124505,0.0149053,0.0187413,0.0174685,0.8127999999999999
0.0250822,0.20138,0.187892,0.201529,0.0148558,0.0208568,0.0232947,0.0209269,4.8705
0.0810641,0.0788063,0.148183,0.116319,0.0147691,0.0168684,0.0301776,0.0257748,1.3530666666666666
0.193919,0.69858,2.03545,2.7605,0.0253732,0.0334687,0.0642812,0.0557369,0.9018666666666667
0.051227,0.0790562,0.137978,0.16012,0.012406,0.0150423,0.0188859,0.0164889,1.0872833333333334
