F606W err (muJy),F814W err (muJy),F125W err (muJy),F160W err (muJy),F606W/F814W err,F814W/F125W err,F125W/F160W err
0.0194948,0.0223002,0.0266381,0.0251867,0.26186213718712054,0.22164282929927692,0.13220187551648446
0.0141816,0.0176698,0.0309138,0.0268755,0.07069623247547138,0.07246595714398607,0.0938990660355429
0.0106573,0.0132328,0.020541,0.0186628,0.22329720925832608,0.1904528441870697,0.14123189754799445
0.0380819,0.0376546,0.0252508,0.0230759,0.2113532380867736,0.13043573375288856,0.06594991431216368
0.0114792,0.0134786,0.0308243,0.0217552,0.33895458185840704,0.1890228660643542,0.2611252799246475
0.0172862,0.0214496,0.0341239,0.0347971,0.2599378828898602,0.22336946086179213,0.3373948228573627
0.057703,0.0463103,0.0310591,0.0280843,1.0933981705908686,0.2915365565383097,0.2385970418841634
0.0172731,0.0212388,0.0379402,0.0343281,0.06808171973847237,0.06482085685965427,0.07900622210402809
0.0115971,0.0139667,0.0178947,0.0157624,0.23972267663531902,0.07689506984779218,0.12350904634662196
0.0184024,0.0232489,0.0475892,0.0379502,0.10031191951182039,0.031601798082991205,0.07531906202078666
0.0179952,0.0230669,0.0264225,0.0235608,0.03613245661799665,0.04504412372654445,0.037313668501572826
0.0438238,0.0480226,0.0605655,0.0459772,0.2970889924376375,0.513930699851657,0.8511880865499555
0.0401205,0.0620505,0.0636675,0.0561739,0.014006776619273908,0.008724439058236458,0.006803617238014954
0.030999,0.0382509,0.0263789,0.0226463,0.25023228409947523,0.09296505556774987,0.0574050909617919
0.0247794,0.0295777,0.0363787,0.0333465,0.13418341133644593,0.09949078259764338,0.06874654179476117
0.0568769,0.0861546,0.138419,0.108831,0.004563879851785851,0.005192439446254826,0.006514639360345832
0.0150317,0.018683,0.0336182,0.0244166,0.09580393225505074,0.07415424667852154,0.106679380553245
0.0127953,0.0159439,0.0179153,0.016305,0.16424903039760388,0.173752852589282,0.0708400276754047
0.0238244,0.0291949,0.0373105,0.0348881,0.16647300239096868,0.039794523863982946,0.03285858402183306
0.0124505,0.0149053,0.0187413,0.0174685,0.21942891696827022,0.17709827681082885,0.07897650090091689
0.0148558,0.0208568,0.0232947,0.0209269,0.07488934528138472,0.17314387858661048,0.1507778261820965
0.0147691,0.0168684,0.0301776,0.0257748,0.2891407964401481,0.1571253694026997,0.3833988942703019
0.0253732,0.0334687,0.0642812,0.0557369,0.03867935859125355,0.019693843566062137,0.027638467229211997
0.012406,0.0150423,0.0188859,0.0164889,0.19956763529798702,0.13429715866020608,0.1476017866716594
0.0123387,0.0151648,0.0179161,0.0157301,0.19646496999757956,0.22366117423540022,0.25057297661420447
0.0261825,0.0333629,0.173959,0.051598,0.06785701712221084,0.19826894598942166,0.22961877119985077
0.0242932,0.0430224,0.0204977,0.0186004,7.228561994657892,4.285440046672884,0.4012377080895111
0.018045,0.0212271,0.0378867,0.0315485,0.07430321769715362,0.05335948842319633,0.0654648393742467
0.0130223,0.0148707,0.0166548,0.015891,0.23755564836699156,0.14304540339708857,0.12423911107328649
0.01467,0.0187057,0.0226963,0.0202607,0.08663677081190024,0.06533940358354894,0.057942214704982876
0.0141325,0.0168938,0.0326532,0.0285367,0.19946345439505955,0.21439549290112664,0.18815616352942
0.0122704,0.0156015,0.0192454,0.017394,0.15251173205516405,0.1274739161728608,0.10781385869661066
0.0206515,0.0238056,0.0269159,0.0243799,0.06698800465892943,0.06416046929828326,0.05297828585700726
0.0308042,0.0436355,0.0806529,0.0704788,0.07617318718540166,0.11370816369254767,0.12128429629589867
0.0172713,0.0217619,0.0238668,0.022103,0.16510116746184278,0.08472154309238375,0.05872668078822126
0.0167427,0.0213752,0.0267013,0.0244096,0.4354321461491662,0.2451094330658594,0.31374890749276013
0.0160135,0.02031,0.0253114,0.0224515,0.08169215921293935,0.04927174746480108,0.05166151693050693
0.013378,0.0159,0.0271658,0.0238926,0.14475185035832405,0.19233861046991774,0.13735858272683707
0.0124774,0.014755,0.0175739,0.0164841,0.1658787833934334,0.12387747177961339,0.08539295496905343
0.0260547,0.0317387,0.0366562,0.0319034,0.03362400408656901,0.03396487022182337,0.03216116044893626
0.0102494,0.0138734,0.0274703,0.0269456,0.08719805256331277,0.10243447653350368,0.11751240551984214
0.0424252,0.0473687,0.0530592,0.0474108,0.055144575850967915,0.025854220337231934,0.025376641391168086
0.028802,0.0383094,0.0481022,0.0432545,0.02930594115453468,0.019928380780218045,0.02071030644041569
